Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
4,10:50,1,10,BUF 25,14,27,LeSean McCoy middle for 7 yards (tackle by Cory James and Shalom Luani),0.610,1.010
4,10:10,2,3,BUF 32,14,27,LeSean McCoy middle for -1 yards (tackle by NaVorro Bowman),1.010,0.170
4,9:26,3,4,BUF 31,14,27,Tyrod Taylor pass complete short left to Jordan Matthews for 9 yards (tackle by T.J. Carrie),0.170,1.600
4,8:43,1,10,BUF 40,14,27,LeSean McCoy right guard for 4 yards (tackle by Justin Ellis),1.600,1.590
4,7:59,2,6,BUF 44,14,27,LeSean McCoy right guard for 5 yards (tackle by Reggie Nelson),1.590,1.550
4,7:17,3,1,BUF 49,14,27,Mike Tolbert middle for 2 yards (tackle by Justin Ellis),1.550,2.320
4,6:37,1,10,OAK 49,14,27,Mike Tolbert right tackle for 6 yards (tackle by Reggie Nelson and NaVorro Bowman),2.320,2.590
4,5:55,2,4,OAK 43,14,27,LeSean McCoy middle for no gain (tackle by Justin Ellis),2.590,1.880
4,5:11,3,4,OAK 43,14,27,LeSean McCoy left end for -4 yards (tackle by Cory James),1.880,0.000
4,5:04,,,,,,Timeout #1 by Oakland Raiders,0.000,-0.130
4,5:04,4,8,OAK 47,14,27,Colton Schmidt punts 28 yards,0.130,-0.150
4,4:54,1,10,OAK 19,14,27,Derek Carr pass complete short middle to Amari Cooper for 4 yards (tackle by Leonard Johnson),0.150,0.210
4,4:28,2,6,OAK 23,14,27,Derek Carr pass complete short right to Amari Cooper for 18 yards (tackle by Micah Hyde),0.210,1.660
4,4:02,1,10,OAK 41,14,27,Derek Carr pass complete short middle to Jalen Richard for 7 yards (tackle by Preston Brown and Trae Elston),1.660,2.070
4,3:33,2,3,OAK 48,14,27,Derek Carr pass incomplete short left intended for Cordarrelle Patterson (defended by Shareece Wright),2.070,1.360
4,3:29,3,3,OAK 48,14,27,Derek Carr pass incomplete short left intended for Amari Cooper,1.360,-0.190
4,3:25,4,3,OAK 48,14,27,Derek Carr pass incomplete short left intended for Amari Cooper,-0.190,-2.390
4,3:21,1,10,OAK 48,14,33,"LeSean McCoy left guard for 48 yards, touchdown. Penalty on Bruce Irvin: Unsportsmanlike Conduct, 15 yards",2.390,7.000
4,3:12,,,OAK 15,14,34,Steven Hauschka kicks extra point good,0.000,0.000
4,3:12,,,,14,34,"Steven Hauschka kicks off 50 yards, touchback",0.000,-0.610
4,3:12,1,10,OAK 25,14,34,Derek Carr pass complete short middle to DeAndre Washington for 12 yards (tackle by Micah Hyde),0.610,1.400
4,2:52,1,10,OAK 37,14,34,Derek Carr pass incomplete short left intended for DeAndre Washington,1.400,0.860
4,2:48,2,10,OAK 37,14,34,Derek Carr pass complete short middle to DeAndre Washington for 11 yards (tackle by Shareece Wright),0.860,2.130
4,2:23,1,10,OAK 48,14,34,Derek Carr pass complete short right to DeAndre Washington for 14 yards (tackle by Trae Elston),2.130,3.050
4,2:01,1,10,BUF 38,14,34,Derek Carr pass complete short middle to DeAndre Washington for 7 yards (tackle by Leonard Johnson),3.050,3.450
4,1:53,2,3,BUF 31,14,34,Derek Carr pass incomplete short middle intended for Jalen Richard (defended by Adolphus Washington),3.450,2.740
4,1:49,3,3,BUF 31,14,34,"Penalty on Lorenzo Alexander: Encroachment, 5 yards (no play)",2.740,3.840
4,1:49,1,10,BUF 26,14,34,Derek Carr pass incomplete short left intended for Jalen Richard,3.840,3.300
4,1:43,2,10,BUF 26,14,34,"Derek Carr pass incomplete deep left intended for Amari Cooper is intercepted by Trae Elston at BUF-3 and returned for 22 yards. Penalty on Adolphus Washington: Offensive Holding, 10 yards",3.300,0.220
4,1:33,1,10,BUF 15,14,34,Mike Tolbert left guard for 3 yards (tackle by Khalil Mack and NaVorro Bowman),-0.220,-0.280
4,0:52,2,7,BUF 18,14,34,Tyrod Taylor kneels for -2 yards,-0.280,-1.250
4,0:29,3,9,BUF 16,14,34,Tyrod Taylor kneels for -1 yards,-1.250,-2.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
