Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
4,10:57,4,22,SDG 34,3,17,Mike Scifres punts 39 yards,-1.110,-0.740
4,10:52,1,10,KAN 27,3,17,Trent Green pass complete to Tony Gonzalez for 11 yards (tackle by Matt Wilhelm),0.740,1.470
4,10:34,1,10,KAN 38,3,17,"Trent Green pass incomplete intended for Samie Parker. Penalty on Jamar Fletcher: Illegal Contact, 5 yards (no play)",1.470,1.800
4,10:27,1,10,KAN 43,3,17,Trent Green left end for 7 yards,1.800,2.200
4,9:58,2,3,SDG 50,3,17,"Penalty on Kevin Sampson: Offensive Holding, 10 yards (no play)",2.200,0.850
4,9:27,2,13,KAN 40,3,17,Trent Green pass incomplete intended for Tony Gonzalez is intercepted by Adrian Dingle at KAN-40 and returned for 1 yard,0.850,-2.980
4,9:22,1,10,KAN 39,3,17,Michael Turner up the middle for no gain (tackle by Scott Fujita),2.980,2.440
4,8:44,2,10,KAN 39,3,17,Michael Turner up the middle for 26 yards (tackle by Shaunard Harts),2.440,4.710
4,7:59,1,10,KAN 13,3,17,Andrew Pinnock left end for no gain (tackle by Jared Allen),4.710,4.050
4,7:17,2,10,KAN 13,3,23,"Philip Rivers pass complete to Malcom Floyd for 13 yards, touchdown",4.050,7.000
4,,,,KAN 2,3,24,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,3,24,"Nate Kaeding kicks off 58 yards, returned by Dante Hall for 10 yards (tackle by Clinton Hart)",0.000,0.410
4,7:04,1,10,KAN 22,3,24,Larry Johnson up the middle for 8 yards (tackle by Matt Wilhelm and Jason Fisk),0.410,0.950
4,6:32,2,2,KAN 30,3,24,Trent Green pass complete to Tony Gonzalez for 5 yards (tackle by Ben Leber),0.950,1.270
4,6:11,1,10,KAN 35,3,24,Trent Green pass complete to Eddie Kennison for 14 yards (tackle by Robb Butler),1.270,2.190
4,5:43,1,10,KAN 49,3,24,Trent Green pass incomplete intended for Samie Parker (defended by DeQuincy Scott),2.190,1.650
4,5:39,2,10,KAN 49,3,24,Trent Green pass complete to Tony Gonzalez for 5 yards (tackle by Hanik Milligan),1.650,1.620
4,5:21,3,5,SDG 46,3,24,Trent Green pass complete to Larry Johnson for 7 yards (tackle by Quentin Jammer),1.620,2.980
4,4:49,1,10,SDG 39,3,24,Trent Green pass complete to Eddie Kennison for 37 yards (tackle by Quentin Jammer),2.980,6.740
4,4:15,1,2,SDG 2,9,24,"Larry Johnson up the middle for 2 yards, touchdown",6.740,7.000
4,,,,SDG 2,10,24,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,10,24,"Lawrence Tynes kicks onside 9 yards, recovered by Scott Fujita (onside kick successful)",0.000,1.530
