Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
4,8:09,2,6,PHI 46,18,27,D'Andre Swift left guard for 3 yards (tackle by Micah McFadden),1.730,1.420
4,7:28,3,3,PHI 49,18,27,Jalen Hurts pass complete short right to Dallas Goedert for 21 yards (tackle by Nick McCloud),1.420,3.580
4,6:48,1,10,NYG 30,18,27,Jalen Hurts right end for -4 yards (tackle by Dane Belton),3.580,2.490
4,6:18,2,14,NYG 34,18,27,Kenneth Gainwell left tackle for 8 yards (tackle by D.J. Davidson),2.490,2.870
4,6:14,,,,,,Timeout #1 by New York Giants,,
4,6:14,3,6,NYG 26,18,27,Jalen Hurts pass incomplete short right intended for Julio Jones,2.870,1.760
4,6:08,4,6,NYG 26,18,30,Jake Elliott 44 yard field goal good,1.760,3.000
4,6:04,,,PHI 35,18,30,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,6:04,1,10,NYG 25,18,30,Tyrod Taylor scrambles right end for 6 yards (tackle by James Bradberry),0.610,0.870
4,5:32,2,4,NYG 31,24,30,"Tyrod Taylor pass complete deep left to Darius Slayton for 69 yards, touchdown",0.870,7.000
4,5:22,,,PHI 15,25,30,Mason Crosby kicks extra point good,0.000,0.000
4,5:22,,,NYG 35,25,30,"Mason Crosby kicks off 61 yards,",0.000,0.610
4,5:22,1,10,PHI 25,25,30,D'Andre Swift left end for 5 yards (tackle by Xavier McKinney),0.610,0.740
4,4:41,2,5,PHI 30,25,30,D'Andre Swift left tackle for 17 yards (tackle by Nick McCloud and Jason Pinnock),0.740,2.060
4,3:56,1,10,PHI 47,25,30,D'Andre Swift left guard for 5 yards (tackle by Xavier McKinney),2.060,2.190
4,3:17,2,5,NYG 48,25,30,D'Andre Swift left guard for 9 yards (tackle by Bobby Okereke),2.190,2.980
4,2:35,1,10,NYG 39,25,30,D'Andre Swift left end for 12 yards (tackle by Bobby Okereke),2.980,3.780
4,2:23,,,,,,Timeout #2 by New York Giants,,
4,2:23,1,10,NYG 27,25,30,D'Andre Swift left end for -1 yards (tackle by A'Shawn Robinson),3.780,3.100
4,2:19,,,,,,Timeout #3 by New York Giants,,
4,2:19,2,11,NYG 28,25,30,D'Andre Swift left tackle for -4 yards (tackle by Jihad Ward),3.100,1.880
4,2:00,3,15,NYG 32,25,30,Jalen Hurts pass complete short right to DeVonta Smith for 7 yards (tackle by Adoree' Jackson),1.880,1.800
4,1:14,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:14,4,8,NYG 25,25,33,Jake Elliott 43 yard field goal good,1.800,3.000
4,1:10,,,PHI 35,25,33,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,1:03,1,10,NYG 25,25,33,"Tyrod Taylor pass incomplete deep left intended for Darren Waller (defended by Reed Blankenship). Penalty on Haason Reddick: Roughing the Passer, 15 yards (accepted) (no play)",0.610,1.600
4,1:03,1,10,NYG 40,25,33,Tyrod Taylor pass incomplete deep right intended for Wan'Dale Robinson,1.600,1.050
4,0:56,2,10,NYG 40,25,33,Tyrod Taylor pass incomplete deep right intended for Wan'Dale Robinson,1.050,0.370
4,0:51,3,10,NYG 40,25,33,Tyrod Taylor pass complete short middle to Darren Waller for 12 yards (tackle by James Bradberry and Reed Blankenship),0.370,2.390
4,0:38,1,10,PHI 48,25,33,Tyrod Taylor spiked the ball,2.390,1.850
4,0:37,2,10,PHI 48,25,33,Tyrod Taylor pass complete short right to Saquon Barkley for 2 yards (tackle by James Bradberry),1.850,1.420
4,0:32,3,8,PHI 46,25,33,Tyrod Taylor pass incomplete deep left intended for Wan'Dale Robinson,1.420,0.200
4,0:26,,,,,,Timeout #3 by Philadelphia Eagles,,
4,0:26,4,8,PHI 46,25,33,Tyrod Taylor pass complete deep left to Darren Waller for 20 yards (tackle by Kelee Ringo),0.200,3.840
4,0:05,1,10,PHI 26,25,33,Tyrod Taylor spiked the ball,3.840,3.300
4,0:04,2,10,PHI 26,25,33,Tyrod Taylor pass deep left intended for Saquon Barkley is intercepted by Kelee Ringo in end zone and returned for no gain,3.300,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
