Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
4,1:28,,,WAS 35,21,13,"Kai Forbath kicks onside 14 yards, recovered by Steve Smith",0.000,2.320
4,1:27,1,10,WAS 49,21,13,"Penalty on Ryan Kerrigan: Neutral Zone Infraction, 5 yards (no play)",2.320,3.050
4,1:27,1,5,WAS 44,21,13,Jonathan Stewart left tackle for 1 yard (tackle by Reed Doughty and Stephen Bowen),3.050,0.000
4,1:22,,,,21,13,Timeout #2 by Washington Redskins,0.000,2.590
4,1:22,2,4,WAS 43,21,13,Jonathan Stewart right tackle for no gain (tackle by Rob Jackson and Josh Wilson),2.590,0.000
4,1:15,,,,21,13,Timeout #3 by Washington Redskins,0.000,1.880
4,1:15,3,4,WAS 43,21,13,Jonathan Stewart left tackle for -2 yards (tackle by Josh Wilson and Stephen Bowen),1.880,0.270
4,1:15,4,6,WAS 45,21,13,"Penalty on Brad Nortman: Delay of Game, 5 yards (no play)",0.270,-0.060
4,0:29,4,11,,21,13,"Brad Nortman punts 34 yards, returned by Brandon Banks for 1 yard (tackle by Jordan Senn). Penalty on Keenan Robinson: Running Into the Kicker (Declined)",-0.060,0.060
4,0:17,1,10,WAS 17,21,13,Robert Griffin III pass complete short right to Brandon Banks for -9 yards (tackle by Luke Kuechly),-0.060,-1.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
