Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
4,2:15,3,4,IND 48,19,3,Nick Foles pass complete short middle to Jimmy Graham for 10 yards (tackle by Bobby Okereke),1.550,3.050
4,2:00,1,10,IND 38,19,3,Nick Foles pass complete deep middle to Allen Robinson for 22 yards (tackle by Anthony Walker),3.050,4.510
4,1:41,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:41,1,10,IND 16,19,9,"Nick Foles pass complete deep right to Allen Robinson for 16 yards, touchdown",4.510,7.000
4,1:35,,,IND 2,19,11,"Two Point Attempt: David Montgomery rushes, conversion succeeds.",1.000,1.000
4,1:35,,,CHI 35,19,11,"Cairo Santos kicks onside 11 yards, returned by Trey Burton for no gain",0.000,2.520
4,1:34,1,10,CHI 46,19,11,Jonathan Taylor right guard for 1 yard (tackle by James Vaughters),2.520,2.110
4,1:28,,,,,,Timeout #3 by Chicago Bears,,
4,1:28,2,9,CHI 45,19,11,Philip Rivers kneels for -1 yards,2.110,1.290
4,0:45,3,10,CHI 46,19,11,Philip Rivers kneels for -2 yards,1.290,0.070
4,0:01,,,,,,Timeout #3 by Indianapolis Colts,,
4,0:01,4,12,CHI 48,19,11,Philip Rivers kneels for -1 yards,0.070,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
