Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
4,12:06,4,15,CLE 20,12,24,"Corey Bojorquez punts 46 yards, returned by Marvin Mims for 2 yards (tackle by A.J. Green)",-2.030,-1.330
4,11:57,1,10,DEN 36,12,24,Javonte Williams right guard for -2 yards (tackle by Grant Delpit),1.330,0.520
4,11:14,2,12,DEN 34,12,24,"Javonte Williams right tackle for 1 yard (tackle by Ogbonnia Okoronkwo and Alex Wright) Penalty on DEN: Illegal Shift, 5 yards (declined)",0.520,-0.030
4,10:49,3,11,DEN 35,12,24,Russell Wilson pass complete short middle to Jerry Jeudy for 4 yards (tackle by Sione Takitaki),-0.030,-0.780
4,10:14,4,7,DEN 39,12,24,"Penalty on Tremon Smith: False Start, 5 yards (accepted) (no play)",-0.780,-1.110
4,10:14,4,12,DEN 34,12,24,"Riley Dixon punts 43 yards, fair catch by James Proche at CLE-23",-1.110,-0.480
4,10:07,1,10,CLE 23,12,24,"P.J. Walker pass complete short right to Jerome Ford for 7 yards (tackle by Jonathon Cooper). Penalty on Jonathon Cooper: Personal Foul / Defense, 15 yards (accepted)",0.480,1.930
4,9:56,1,10,CLE 45,12,24,P.J. Walker pass complete deep left to Elijah Moore for 26 yards,1.930,3.640
4,9:22,1,10,DEN 29,12,24,P.J. Walker pass incomplete deep right intended for Elijah Moore,3.640,3.100
4,9:16,2,10,DEN 29,12,24,P.J. Walker pass complete short left to Jerome Ford for -4 yards (tackle by Jonathan Harris),3.100,1.880
4,8:33,3,14,DEN 33,12,24,"P.J. Walker pass incomplete short left intended for Amari Cooper. Penalty on Wyatt Teller: Offensive Holding, 10 yards (declined)",1.880,1.150
4,8:28,4,14,DEN 33,12,24,"P.J. Walker sacked by P.J. Locke for -9 yards. P.J. Walker fumbles (forced by P.J. Locke), recovered by Alex Singleton at DEN-42",1.150,-1.730
4,8:24,1,10,DEN 42,12,24,Javonte Williams right guard for 3 yards (tackle by Sione Takitaki and Jeremiah Owusu-Koramoah),1.730,1.590
4,7:45,2,7,DEN 45,12,24,Javonte Williams right guard for 6 yards (tackle by Tony Fields),1.590,1.690
4,7:03,3,1,CLE 49,12,24,Russell Wilson pass complete deep left to Courtland Sutton for 25 yards (tackle by Greg Newsome),1.690,3.970
4,6:19,1,10,CLE 24,12,24,Javonte Williams right tackle for 2 yards (tackle by Greg Newsome),3.970,3.700
4,5:46,2,8,CLE 22,12,24,Russell Wilson pass complete short right to Courtland Sutton for 5 yards,3.700,3.750
4,5:11,3,3,CLE 17,12,24,Javonte Williams right tackle for 1 yard (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),3.750,2.500
4,4:23,,,,,,Timeout #1 by Denver Broncos,,
4,4:23,4,2,CLE 16,12,27,Wil Lutz 34 yard field goal good,2.500,3.000
4,4:19,,,DEN 35,12,27,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,4:19,1,10,CLE 25,12,27,P.J. Walker pass complete short right to Elijah Moore for 9 yards (tackle by Patrick Surtain),0.610,1.280
4,4:15,2,1,CLE 34,12,27,P.J. Walker pass complete short left to David Njoku for 6 yards (tackle by Ja'Quan McMillian),1.280,1.600
4,4:09,1,10,CLE 40,12,27,P.J. Walker pass incomplete short right intended for Elijah Moore,1.600,1.050
4,4:04,2,10,CLE 40,12,27,"P.J. Walker sacked by Josey Jewell for -10 yards. P.J. Walker fumbles (forced by Josey Jewell), recovered by Dawand Jones at CLE-30",1.050,-0.960
4,3:24,3,20,CLE 30,12,27,P.J. Walker pass complete short right to David Njoku for 12 yards (tackle by Alex Singleton),-0.960,-0.590
4,2:55,4,8,CLE 42,12,27,P.J. Walker pass incomplete short middle intended for Jerome Ford,-0.590,-2.850
