Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
2,0:17,2,8,NYG 8,13,3,Todd Collins pass incomplete short left intended for Chris Cooley,4.570,3.580
2,0:11,3,8,NYG 8,13,3,Todd Collins sacked by Justin Tuck for -2 yards,3.580,2.760
2,0:04,,,,13,3,Timeout #3 by Washington Redskins,0.000,2.760
2,0:04,4,10,NYG 10,16,3,Shaun Suisham 28 yard field goal good,2.760,3.000
Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,16,3,"Lawrence Tynes kicks off 50 yards, returned by Rock Cartwright for 19 yards (tackle by Corey Webster). Penalty on Ahmad Bradshaw: Low Block, 15 yards",0.000,2.520
3,14:56,1,10,NYG 46,16,3,Clinton Portis left tackle for -2 yards (tackle by Antonio Pierce and Sam Madison),2.520,1.710
3,14:14,2,12,NYG 48,16,3,Todd Collins pass complete short middle to Chris Cooley for 15 yards (tackle by Kevin Dockery),1.710,3.380
3,13:31,1,10,NYG 33,16,3,Todd Collins pass complete short middle to Mike Sellers for 19 yards (tackle by Kawika Mitchell),3.380,4.650
3,12:54,1,10,NYG 14,16,3,Clinton Portis right end for 9 yards (tackle by Kevin Dockery and Craig Dahl),4.650,5.670
3,12:14,2,1,NYG 5,22,3,"Clinton Portis right guard for 5 yards, touchdown",5.670,7.000
3,,,,,22,3,"Two Point Attempt: Todd Collins pass incomplete intended for Chris Cooley, conversion fails",1.000,-1.000
3,,,,WAS 30,22,3,Shaun Suisham kicks off 58 yards,0.000,1.600
3,12:08,1,10,NYG 40,22,3,Brandon Jacobs right tackle for 18 yards (tackle by Shawn Springs),1.600,2.790
3,11:31,1,10,WAS 42,22,3,Brandon Jacobs left tackle for 3 yards (tackle by Reed Doughty),2.790,2.650
3,10:59,2,7,WAS 39,22,3,Eli Manning pass complete short right to Ahmad Bradshaw for 1 yard (tackle by London Fletcher),2.650,2.080
3,10:15,3,6,WAS 38,22,3,Eli Manning sacked by Andre Carter for -14 yards,2.080,-0.190
3,9:34,4,20,NYG 48,22,3,"Jeff Feagles punts 35 yards, returned by Antwaan Randle El for -4 yards (tackle by Corey Webster)",-0.190,0.320
3,9:18,1,10,WAS 13,22,3,Ladell Betts left tackle for 4 yards (tackle by Barry Cofield and Michael Strahan),-0.320,-0.300
3,8:39,2,6,WAS 17,22,3,Ladell Betts left end for -2 yards (tackle by Michael Strahan),-0.300,-1.180
3,7:55,3,8,WAS 15,22,3,Ladell Betts up the middle for -4 yards (tackle by Aaron Ross and Justin Tuck),-1.180,-2.490
3,7:18,4,12,WAS 11,22,3,Derrick Frost punts 37 yards,-2.490,-2.390
3,7:01,1,10,WAS 48,22,3,Eli Manning pass incomplete short middle intended for Plaxico Burress,2.390,1.850
3,6:55,2,10,WAS 48,22,3,Eli Manning pass incomplete deep middle intended for Plaxico Burress (defended by Fred Smoot),1.850,1.160
3,6:49,3,10,WAS 48,22,3,Eli Manning pass complete short middle to Brandon Jacobs for 11 yards (tackle by Reed Doughty),1.160,3.120
3,6:14,1,10,WAS 37,22,3,Brandon Jacobs right tackle for no gain (tackle by Marcus Washington),3.120,2.570
3,5:30,2,10,WAS 37,22,3,Eli Manning pass complete short middle to Plaxico Burress for 18 yards (tackle by Fred Smoot),2.570,4.310
3,4:47,1,10,WAS 19,22,9,"Eli Manning pass complete deep middle to Kevin Boss for 19 yards, touchdown",4.310,7.000
3,,,,WAS 2,22,10,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 30,22,10,"Lawrence Tynes kicks off 56 yards, returned by Rock Cartwright for 15 yards (tackle by Ahmad Bradshaw)",0.000,0.870
3,4:32,1,10,WAS 29,22,10,Todd Collins pass complete short left to Chris Cooley for 19 yards (tackle by Craig Dahl),0.870,2.130
3,3:54,1,10,WAS 48,22,10,Todd Collins pass incomplete short left intended for Chris Cooley (defended by Michael Johnson),2.130,1.580
3,3:40,2,10,WAS 48,22,10,Clinton Portis left end for 4 yards (tackle by Craig Dahl),1.580,1.420
3,3:00,3,6,NYG 48,22,10,Todd Collins pass incomplete short middle intended for Ladell Betts,1.420,0.070
3,2:46,4,6,NYG 48,22,10,Derrick Frost punts 30 yards,0.070,-0.040
3,2:34,1,10,NYG 18,22,10,Eli Manning pass complete short middle to Brandon Jacobs for 10 yards (tackle by Shawn Springs),0.040,0.810
3,1:55,1,10,NYG 28,22,10,Eli Manning pass incomplete deep right intended for Amani Toomer,0.810,0.260
3,1:47,2,10,NYG 28,22,10,Brandon Jacobs right guard for 13 yards (tackle by Khary Campbell and LaRon Landry),0.260,1.660
3,1:15,1,10,NYG 41,22,10,Brandon Jacobs right guard for 6 yards (tackle by London Fletcher),1.660,1.930
