Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3,2:54,1,10,CAR 45,17,12,Peyton Barber right guard for 13 yards (tackle by Tre Boston),2.590,3.450
3,2:14,1,10,CAR 32,17,12,Peyton Barber right tackle for 1 yard (tackle by Donte Jackson),3.450,3.040
3,1:33,2,9,CAR 31,17,12,Jameis Winston pass complete short left to Mike Evans for 10 yards (tackle by James Bradberry),3.040,4.170
3,0:54,1,10,CAR 21,17,12,Jameis Winston pass incomplete deep right intended for Mike Evans,4.170,3.630
3,0:48,2,10,CAR 21,17,12,Peyton Barber up the middle for -3 yards (tackle by Luke Kuechly and Mario Addison),3.630,2.540
3,0:07,3,13,CAR 24,17,12,Jameis Winston pass incomplete deep left intended for Breshad Perriman,2.540,1.870
3,0:02,4,13,CAR 24,17,12,Matt Gay 42 yard field goal no good,1.870,-1.070
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 32,17,12,Cam Newton pass complete short left to D.J. Moore for 18 yards (tackle by Vernon Hargreaves),1.070,2.260
4,14:38,1,10,CAR 50,17,12,Cam Newton pass incomplete short right,2.260,1.710
4,14:32,2,10,CAR 50,17,12,Cam Newton pass complete short left to D.J. Moore for 8 yards (tackle by Vernon Hargreaves),1.710,2.080
4,13:55,3,2,TAM 42,17,12,"Cam Newton pass incomplete short right intended for Greg Olsen (defended by Jordan Whitehead). Penalty on Curtis Samuel: Offensive Pass Interference, 10 yards (no play)",2.080,0.760
4,13:51,3,12,CAR 48,17,12,Cam Newton pass incomplete deep middle intended for Curtis Samuel. Penalty on Daryl Williams: Offensive Holding (Declined),0.760,-0.190
4,13:45,4,12,CAR 48,17,12,Michael Palardy punts 49 yards downed by Natrell Jamerson,-0.190,0.380
4,13:37,1,10,TAM 3,17,12,Jameis Winston pass incomplete deep right intended for Chris Godwin,-0.380,-0.780
4,13:30,2,10,TAM 3,17,12,"Penalty on Jameis Winston: Delay of Game, 1 yard (no play)",-0.780,-0.850
4,13:30,2,11,TAM 2,17,14,"Peyton Barber left end for -2 yards (tackle by Luke Kuechly), safety.",-0.850,-2.000
4,13:21,,,TAM 20,17,14,"Bradley Pinion kicks off 55 yards, returned by Chris Hogan for 21 yards (tackle by Deone Bucannon and Dare Ogunbowale)",0.000,1.990
4,13:14,1,10,CAR 46,17,14,Cam Newton pass incomplete short left intended for Greg Olsen (defended by Jordan Whitehead),1.990,1.450
4,13:10,2,10,CAR 46,17,14,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (no play)",1.450,2.130
4,13:10,2,5,TAM 49,17,14,Christian McCaffrey left guard for 4 yards (tackle by Lavonte David and Vita Vea),2.130,1.950
4,12:32,3,1,TAM 45,17,14,Christian McCaffrey right guard for no gain (tackle by Jack Cichy and Carl Nassib),1.950,0.270
4,11:45,,,,,,Timeout #1 by Carolina Panthers,,
4,11:45,4,1,TAM 45,17,14,Cam Newton pass incomplete deep left intended for Curtis Samuel,0.270,-1.990
4,11:39,1,10,TAM 46,17,14,Jameis Winston sacked by and Mario Addison for -10 yards,1.990,0.100
4,10:55,2,20,TAM 36,17,14,Jameis Winston pass complete short right to Chris Godwin for 4 yards (tackle by Eric Reid),0.100,-0.030
4,10:16,3,16,TAM 40,17,14,Jameis Winston sacked by Dontari Poe for -9 yards,-0.030,-1.310
4,9:37,4,25,TAM 31,17,14,Bradley Pinion punts 48 yards downed by Bobo Wilson,-1.310,-0.340
4,9:24,1,10,CAR 21,17,14,Cam Newton pass incomplete deep left intended for Curtis Samuel (defended by Vernon Hargreaves),0.340,-0.200
4,9:18,2,10,CAR 21,17,14,Cam Newton pass incomplete short right intended for D.J. Moore,-0.200,-0.890
4,9:13,3,10,CAR 21,17,14,Cam Newton pass incomplete short middle intended for Curtis Samuel,-0.890,-1.960
4,9:09,4,10,CAR 21,17,14,"Michael Palardy punts 57 yards, returned by Bobo Wilson for 11 yards (tackle by Chris Hogan)",-1.960,-1.140
4,8:58,1,10,TAM 33,17,14,Peyton Barber up the middle for 3 yards (tackle by Gerald McCoy and Luke Kuechly),1.140,1.000
4,8:23,2,7,TAM 36,17,14,Peyton Barber up the middle for 12 yards (tackle by Luke Kuechly and Tre Boston),1.000,2.130
4,7:44,1,10,TAM 48,17,14,Peyton Barber right tackle for 2 yards (tackle by Eric Reid and Luke Kuechly),2.130,1.850
4,6:58,2,8,TAM 50,17,14,Peyton Barber left guard for no gain (tackle by Shaq Thompson and Luke Kuechly),1.850,1.160
4,6:17,3,8,TAM 50,17,14,Jameis Winston pass complete short left to Chris Godwin for 14 yards,1.160,3.180
4,5:41,1,10,CAR 36,17,14,Peyton Barber left guard for 7 yards (tackle by Kawann Short),3.180,3.580
4,4:54,2,3,CAR 29,17,14,Jameis Winston pass complete short left to Mike Evans for 10 yards (tackle by James Bradberry),3.580,4.310
4,4:08,1,10,CAR 19,17,14,Peyton Barber right tackle for 1 yard (tackle by Marquis Haynes and Shaq Thompson),4.310,3.880
4,3:22,2,9,CAR 18,17,14,Peyton Barber left guard for 4 yards (tackle by Marquis Haynes),3.880,3.760
4,2:35,3,5,CAR 14,17,14,Jameis Winston pass incomplete short left intended for Mike Evans,3.760,2.560
4,2:30,4,5,CAR 14,20,14,Matt Gay 32 yard field goal good,2.560,3.000
4,2:26,,,TAM 35,20,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,2:26,1,10,CAR 25,20,14,Cam Newton pass complete deep right to Curtis Samuel for 24 yards (tackle by Carlton Davis),0.610,2.190
4,2:19,1,10,CAR 49,20,14,Cam Newton pass incomplete deep right intended for Curtis Samuel,2.190,1.650
4,2:14,2,10,CAR 49,20,14,Cam Newton pass complete short right to Greg Olsen for 6 yards (tackle by Lavonte David),1.650,1.750
4,2:09,3,4,TAM 45,20,14,Cam Newton pass complete short left to D.J. Moore for 4 yards (tackle by Vernon Hargreaves),1.750,2.850
4,2:00,1,10,TAM 41,20,14,Cam Newton pass complete short right to Christian McCaffrey for 10 yards (tackle by Carlton Davis),2.850,3.510
4,1:54,1,10,TAM 31,20,14,Cam Newton pass incomplete deep right intended for D.J. Moore,3.510,2.970
4,1:50,2,10,TAM 31,20,14,"Cam Newton pass complete short right to Curtis Samuel for 9 yards (tackle by Carlton Davis). Penalty on Carlton Davis: Face Mask (15 Yards), 11 yards",2.970,4.840
4,1:45,1,10,TAM 11,20,14,Cam Newton pass incomplete short right intended for Christian McCaffrey,4.840,4.140
4,1:42,2,10,TAM 11,20,14,Cam Newton pass incomplete short left intended for D.J. Moore,4.140,3.130
4,1:38,3,10,TAM 11,20,14,Cam Newton pass complete short left to D.J. Moore for 8 yards (tackle by Vernon Hargreaves),3.130,3.050
4,1:28,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,1:28,4,2,TAM 3,20,14,"Penalty on TAM: Delay of Game, 1 yard (no play)",3.050,3.250
4,1:28,4,1,TAM 2,20,14,Christian McCaffrey left end for no gain (tackle by Vernon Hargreaves),3.250,0.380
4,1:22,1,10,TAM 2,20,14,Jameis Winston up the middle for 2 yards (tackle by Dontari Poe and Shaq Thompson),-0.380,-0.630
4,1:19,,,,,,Timeout #3 by Carolina Panthers,,
4,1:19,2,8,TAM 4,20,14,Jameis Winston kneels for -1 yards,-0.630,-1.300
4,0:37,3,9,TAM 3,20,14,Jameis Winston kneels for -1 yards,-1.300,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
