Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
4,10:03,1,10,JAX 49,23,10,Drew Brees pass incomplete short left intended for Robert Meachem is intercepted by Dawan Landry at JAX-46,2.320,-1.990
4,9:56,1,10,JAX 46,23,10,Maurice Jones-Drew up the middle for 5 yards (tackle by Jabari Greer),1.990,2.130
4,9:20,2,5,NOR 49,23,10,Maurice Jones-Drew right end for 1 yard (tackle by Roman Harper and Scott Shanle),2.130,1.550
4,8:41,3,4,NOR 48,23,10,"Blaine Gabbert sacked by Cameron Jordan for -5 yards. Penalty on Scott Shanle: Defensive Holding, 5 yards (no play)",1.550,2.720
4,8:16,1,10,NOR 43,23,10,"Blaine Gabbert pass incomplete short right intended for Zach Miller. Penalty on Jonathan Casillas: Roughing the Passer, 15 yards (no play)",2.720,3.710
4,8:10,1,10,NOR 28,23,10,Maurice Jones-Drew up the middle for 5 yards (tackle by Shaun Rogers),3.710,3.840
4,7:42,2,5,NOR 23,23,10,Maurice Jones-Drew up the middle for 3 yards (tackle by Cameron Jordan and Roman Harper),3.840,3.530
4,7:04,3,2,NOR 20,23,10,Blaine Gabbert pass incomplete short right intended for Zach Miller,3.530,2.250
4,7:01,,,,23,10,Timeout #1 by New Orleans Saints,0.000,2.250
4,7:01,4,2,NOR 20,23,10,Blaine Gabbert pass incomplete deep right intended for Marcedes Lewis,2.250,-0.280
4,6:55,1,10,NOR 20,23,10,Mark Ingram up the middle for no gain (tackle by Terrance Knighton and Paul Posluszny),0.280,-0.270
4,6:13,2,10,NOR 20,23,10,Drew Brees pass incomplete short right intended for Jimmy Graham,-0.270,-0.960
4,6:08,3,10,NOR 20,23,10,Drew Brees sacked by Paul Posluszny for -10 yards,-0.960,-2.490
4,5:48,4,20,NOR 10,23,10,"Thomas Morstead punts 58 yards, returned by Cecil Shorts for 4 yards (tackle by Korey Hall)",-2.490,-1.330
4,5:36,1,10,JAX 36,23,10,Blaine Gabbert pass complete short right to Mike Thomas for 9 yards (tackle by Jabari Greer),1.330,2.010
4,5:07,2,1,JAX 45,23,10,Blaine Gabbert pass incomplete short left intended for Mike Thomas,2.010,1.290
4,5:03,3,1,JAX 45,23,10,Maurice Jones-Drew up the middle for 19 yards (tackle by Malcolm Jenkins),1.290,3.180
4,4:35,1,10,NOR 36,23,10,Blaine Gabbert pass complete short right to Chastin West for 16 yards (tackle by Jonathan Vilma),3.180,4.240
4,4:08,1,10,NOR 20,23,10,Blaine Gabbert pass incomplete short middle intended for Mike Thomas (defended by Tracy Porter),4.240,3.690
4,4:04,2,10,NOR 20,23,10,Blaine Gabbert pass complete short right to Jarett Dillard for -1 yards (tackle by Tracy Porter),3.690,2.870
4,3:34,3,11,NOR 21,23,10,Blaine Gabbert pass incomplete short left intended for Jason Hill,2.870,2.060
4,3:29,4,11,NOR 21,23,10,Blaine Gabbert pass incomplete deep middle intended for Cecil Shorts (defended by Jabari Greer),2.060,-0.340
4,3:24,1,10,NOR 21,23,10,Mark Ingram right end for 2 yards (tackle by Rashean Mathis),0.340,0.070
4,2:40,2,8,NOR 23,23,10,Drew Brees pass complete deep left to Jimmy Graham for 59 yards (tackle by Dwight Lowery),0.070,4.370
4,2:29,,,,23,10,Timeout #2 by New Orleans Saints,0.000,4.370
4,2:29,1,10,JAX 18,23,10,Drew Brees pass incomplete short right intended for Marques Colston,4.370,3.800
4,2:29,2,10,JAX 18,23,10,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",3.800,3.150
4,2:26,2,15,JAX 23,23,10,Drew Brees sacked by Daryl Smith for -9 yards,3.150,1.290
4,2:15,,,,23,10,Timeout #2 by Jacksonville Jaguars,0.000,1.290
4,2:15,3,24,JAX 32,23,10,Drew Brees pass incomplete deep left intended for Devery Henderson,1.290,1.240
4,2:09,,,,23,10,Timeout #3 by New Orleans Saints,0.000,1.240
4,2:09,4,24,JAX 32,23,10,John Kasay 50 yard field goal no good,1.240,-1.600
4,2:04,1,10,JAX 40,23,10,Blaine Gabbert pass complete short left to Marcedes Lewis for 7 yards (tackle by Jonathan Vilma),1.600,2.000
4,1:57,2,3,JAX 47,23,10,Blaine Gabbert pass incomplete short right intended for Cecil Shorts,2.000,1.290
4,1:54,3,3,JAX 47,23,10,Blaine Gabbert pass incomplete short middle intended for Mike Thomas,1.290,-0.260
4,1:50,4,3,JAX 47,23,10,Blaine Gabbert pass incomplete short middle intended for Maurice Jones-Drew (defended by Jonathan Vilma),-0.260,-2.460
4,1:45,1,10,JAX 47,23,10,Mark Ingram up the middle for 4 yards (tackle by Tyson Alualu),2.460,2.450
4,1:37,,,,23,10,Timeout #3 by Jacksonville Jaguars,0.000,2.450
4,1:37,2,6,JAX 43,23,10,Mark Ingram up the middle for 4 yards (tackle by Paul Posluszny),2.450,2.280
4,0:53,3,2,JAX 39,23,10,Mark Ingram up the middle for 3 yards (tackle by Austen Lane),2.280,3.180
4,0:16,1,10,JAX 36,23,10,Drew Brees kneels for -1 yards,3.180,2.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
