Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
4,4:26,2,9,ARI 25,14,31,Mike Davis left tackle for 1 yard (tackle by Leki Fotu),3.430,2.870
4,4:17,,,,,,Timeout #2 by Arizona Cardinals,,
4,4:17,3,8,ARI 24,14,31,Teddy Bridgewater pass complete short right to Robby Anderson for no gain (tackle by Patrick Peterson),2.870,1.870
4,4:10,,,,,,Timeout #3 by Arizona Cardinals,,
4,4:10,4,8,ARI 24,14,31,Joey Slye 42 yard field goal no good,1.870,-1.070
4,4:05,1,10,ARI 32,14,31,Kenyan Drake up the middle for 7 yards (tackle by Marquis Haynes),1.070,1.470
4,3:49,2,3,ARI 39,14,31,"Chase Edmonds up the middle for 9 yards (tackle by Jeremy Chinn). Penalty on Brian Burns: Unnecessary Roughness, 15 yards",1.470,3.120
4,3:38,1,10,CAR 37,14,31,"Penalty on Kawann Short: Neutral Zone Infraction, 5 yards (no play)",3.120,3.850
4,3:38,1,5,CAR 32,14,31,Kyler Murray pass complete short right to Chase Edmonds for 12 yards (tackle by Tre Boston),3.850,4.240
4,3:15,1,10,CAR 20,14,31,Kyler Murray pass complete short right to Christian Kirk for 8 yards (tackle by Donte Jackson),4.240,5.040
4,3:09,2,2,CAR 12,14,31,Kyler Murray right end for 7 yards (tackle by Tre Boston),5.040,6.060
4,3:03,1,5,CAR 5,14,31,"Kyler Murray pass incomplete short right intended for Christian Kirk. Penalty on Donte Jackson: Defensive Pass Interference, 4 yards (no play)",6.060,6.970
4,2:59,1,1,CAR 1,14,31,Chase Edmonds up the middle for -1 yards (tackle by Brian Burns),6.970,5.720
4,2:17,2,2,CAR 2,20,31,"Kyler Murray pass complete short right to Chase Edmonds for 2 yards, touchdown",5.720,7.000
4,2:13,,,CAR 15,21,31,Zane Gonzalez kicks extra point good,0.000,0.000
4,2:13,,,ARI 35,21,31,"Zane Gonzalez kicks onside 4 yards,",0.000,2.980
4,2:13,1,10,ARI 39,21,31,Reggie Bonnafon left tackle for 2 yards (tackle by Rashard Lawrence),2.980,2.710
4,2:00,2,8,ARI 37,21,31,Mike Davis right guard for 9 yards (tackle by De'Vondre Campbell),2.710,3.710
4,1:15,1,10,ARI 28,21,31,Teddy Bridgewater kneels for -1 yards,3.710,3.030
4,0:33,2,11,ARI 29,21,31,Teddy Bridgewater kneels for -1 yards,3.030,2.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
