Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
3,0:11,3,2,STL 40,3,21,Gus Frerotte pass incomplete short middle intended for Randy McMichael,0.890,-0.720
3,0:07,4,2,STL 40,3,21,"Donnie Jones punts 55 yards. Penalty on Jonathan Wade: Illegal Touch Kick, 5 yards (no play)",-0.720,-1.040
3,0:00,4,7,STL 35,3,21,Donnie Jones punts 45 yards,-1.040,-0.280
Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 20,3,21,Chris Redman pass complete short right to Alge Crumpler for 3 yards (tackle by Chris Draft),0.280,0.140
4,14:25,2,7,ATL 23,3,21,Chris Redman pass complete short left to Jerious Norwood for 4 yards (tackle by Will Witherspoon),0.140,-0.030
4,13:59,3,3,ATL 27,3,21,Chris Redman pass complete short left to Alge Crumpler for 8 yards (tackle by Fakhir Brown),-0.030,1.270
4,13:24,1,10,ATL 35,3,21,Chris Redman pass complete short right to Joe Horn for 20 yards (tackle by O.J. Atogwe),1.270,2.590
4,12:50,1,10,STL 45,3,21,"Penalty on Tyson Clabo: False Start, 5 yards (no play)",2.590,2.260
4,12:35,1,15,,3,21,Jerious Norwood right tackle for 35 yards (tackle by Brandon Chillar),2.260,4.580
4,11:57,1,10,STL 15,9,21,"Chris Redman pass complete short right to Roddy White for 15 yards, touchdown",4.580,7.000
4,,,,,9,21,"Two Point Attempt: Chris Redman pass incomplete intended for Roddy White, conversion fails",1.000,-1.000
4,,,,ATL 30,9,21,"Michael Koenen kicks off 68 yards, returned by Brandon Williams for 15 yards (tackle by Jason Snelling)",0.000,-0.060
4,11:42,1,10,STL 17,9,21,Gus Frerotte pass complete short right to Torry Holt for 16 yards (tackle by DeAngelo Hall),-0.060,1.140
4,11:07,1,10,STL 33,9,21,Steven Jackson right guard for 5 yards (tackle by DeAngelo Hall),1.140,1.270
4,10:29,2,5,STL 38,9,21,Steven Jackson right tackle for 3 yards (tackle by Lawyer Milloy),1.270,0.960
4,9:50,3,2,STL 41,9,21,Gus Frerotte pass incomplete deep middle intended for Steven Jackson,0.960,-0.650
4,9:41,4,2,STL 41,9,21,Donnie Jones punts 31 yards,-0.650,-0.810
4,9:32,1,10,ATL 28,9,21,Chris Redman pass complete short right to Michael Jenkins for 13 yards (tackle by Ronald Bartell),0.810,1.660
4,9:08,1,10,ATL 41,9,21,Chris Redman pass incomplete short right intended for Alge Crumpler,1.660,1.120
4,9:04,2,10,ATL 41,9,21,Chris Redman pass complete short left to Roddy White for 15 yards (tackle by O.J. Atogwe),1.120,2.650
4,8:31,1,10,STL 44,9,21,"Chris Redman pass incomplete deep left intended for Roddy White. Penalty on Fakhir Brown: Defensive Pass Interference, 25 yards (no play)",2.650,4.310
4,8:25,1,10,STL 19,9,21,Chris Redman pass complete short right to Michael Jenkins for 10 yards (tackle by Tye Hill),4.310,5.140
