Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
4,1:14,1,1,SFO 1,34,33,"Josh Jacobs left guard for 1 yard, touchdown",6.970,7.000
4,1:11,,,SFO 15,34,34,Daniel Carlson kicks extra point good,0.000,0.000
4,1:11,,,LVR 35,34,34,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,1:11,1,10,SFO 25,34,34,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk,0.610,0.060
4,1:06,2,10,SFO 25,34,34,Brock Purdy pass complete short middle to Brandon Aiyuk for 12 yards (tackle by Duron Harmon),0.060,1.400
4,0:47,1,10,SFO 37,34,34,Brock Purdy pass complete short middle to Brandon Aiyuk for 18 yards (tackle by Nate Hobbs),1.400,2.590
4,0:40,,,,,,Timeout #1 by San Francisco 49ers,,
4,0:40,1,10,LVR 45,34,34,Brock Purdy pass incomplete short right intended for Christian McCaffrey,2.590,2.040
4,0:35,2,10,LVR 45,34,34,Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Nate Hobbs),2.040,3.310
4,0:27,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:27,1,10,LVR 34,34,34,Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Nate Hobbs),3.310,4.110
4,0:02,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:02,1,10,LVR 22,34,34,Robbie Gould 41 yard field goal no good,4.110,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
,,,,,,,"Raiders won the coin toss, Raiders to receive the overtime kickoff.",,
OT,10:00,,,SFO 35,34,34,"Robbie Gould kicks off 65 yards,",0.000,0.610
OT,9:59,1,10,LVR 25,34,34,Josh Jacobs left guard for 9 yards (tackle by Fred Warner),0.610,1.280
OT,9:18,2,1,LVR 34,34,34,Josh Jacobs right end for 6 yards (tackle by Tashaun Gipson),1.280,1.600
OT,8:33,1,10,LVR 40,34,34,Josh Jacobs left guard for no gain (tackle by Fred Warner and Oren Burks),1.600,1.050
OT,7:53,2,10,LVR 40,34,34,"Jarrett Stidham pass deep left intended for Davante Adams is intercepted by Tashaun Gipson at SF-37 and returned for 56 yards (tackle by Jarrett Stidham). Penalty on Mack Hollins: Low Block, 4 yards (accepted)",1.050,-6.510
OT,7:39,1,3,LVR 3,34,34,Brock Purdy kneels for -2 yards,6.510,5.150
OT,6:57,2,5,LVR 5,37,34,Robbie Gould 23 yard field goal good,5.150,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
