Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
4,3:45,1,10,DET 12,6,14,Shaun Hill pass complete short middle to Calvin Johnson for 4 yards (tackle by Paul Posluszny),-0.350,-0.370
4,3:19,2,6,DET 16,6,14,Jahvid Best middle for 4 yards (tackle by Donte Whitner and Dwan Edwards),-0.370,-0.480
4,2:52,3,2,DET 20,6,14,Shaun Hill pass complete short left to Nate Burleson for 6 yards (tackle by Reggie Corner),-0.480,0.670
4,2:25,1,10,DET 26,6,14,Shaun Hill pass incomplete deep left intended for Tony Scheffler (defended by Bryan Scott),0.670,0.130
4,2:19,2,10,DET 26,6,14,Shaun Hill pass complete short middle to Nate Burleson for 7 yards (tackle by Paul Posluszny and Arthur Moats),0.130,0.370
4,2:00,3,3,DET 33,6,14,Shaun Hill pass complete short right to Jahvid Best for -2 yards (tackle by Leodis McKelvin),0.370,-1.310
4,1:46,,,,6,14,Timeout #2 by Detroit Lions,0.000,-1.310
4,1:46,4,5,DET 31,6,14,Shaun Hill pass complete short right to Brandon Pettigrew for 14 yards (tackle by Bryan Scott),-1.310,1.930
4,1:39,1,10,DET 45,6,14,Shaun Hill pass incomplete short middle intended for Calvin Johnson (defended by Leodis McKelvin),1.930,1.380
4,1:33,2,10,DET 45,6,14,Shaun Hill pass incomplete deep right intended for Calvin Johnson,1.380,0.700
4,1:28,3,10,DET 45,6,14,Shaun Hill pass complete short right to Calvin Johnson for 9 yards (tackle by Leodis McKelvin),0.700,0.200
4,1:21,,,,6,14,Timeout #3 by Detroit Lions,0.000,0.200
4,1:21,4,1,BUF 46,6,14,"Penalty on Dominic Raiola: False Start, 5 yards (no play)",0.200,-0.130
4,1:21,4,6,DET 49,6,14,Shaun Hill pass complete deep middle to Nate Burleson for 23 yards (tackle by Drayton Florence),-0.130,3.710
4,0:50,1,10,BUF 28,6,14,Shaun Hill pass incomplete deep middle intended for Nate Burleson (defended by Jairus Byrd),3.710,3.170
4,0:45,2,10,BUF 28,6,14,Shaun Hill pass complete short middle to Calvin Johnson for 8 yards (tackle by Donte Whitner and Paul Posluszny),3.170,3.530
4,0:22,3,2,BUF 20,6,14,Shaun Hill pass incomplete short right intended for Tony Scheffler,3.530,2.250
4,0:19,,,,6,14,Timeout #3 by Buffalo Bills,0.000,2.250
4,0:19,4,2,BUF 20,12,14,"Shaun Hill pass complete deep middle to Calvin Johnson for 20 yards, touchdown",2.250,7.000
4,,,,,12,14,"Two Point Attempt: Shaun Hill pass incomplete intended for Brandon Pettigrew, conversion fails",1.000,-1.000
4,,,,DET 30,12,14,Dave Rayner kicks onside 11 yards,0.000,2.850
4,0:13,1,10,DET 41,12,14,Ryan Fitzpatrick kneels for -1 yards,2.850,2.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
