Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
4,1:29,1,10,ARI 47,23,23,Damien Williams right end for 5 yards (tackle by D.J. Swearinger),2.460,2.590
4,0:52,2,5,ARI 42,23,23,Matt Moore pass complete short middle to Kenny Stills for 12 yards (tackle by Justin Bethel),2.590,0.000
4,0:43,,,,23,23,Timeout #2 by Miami Dolphins,0.000,-3.580
4,0:43,1,10,ARI 30,23,23,Matt Moore pass complete deep left to Kenny Stills for 29 yards (tackle by Justin Bethel). Penalty on Justin Bethel: Defensive Pass Interference (Declined),3.580,6.970
4,0:37,1,1,ARI 1,23,23,Damien Williams left tackle for -2 yards (tackle by Chandler Jones),6.970,5.530
4,0:10,2,3,ARI 3,23,23,Damien Williams right end for no gain (tackle by Markus Golden),5.530,0.000
4,0:01,,,,23,23,Timeout #3 by Miami Dolphins,0.000,0.000
4,0:01,,,,23,23,Timeout #3 by Arizona Cardinals,0.000,-4.720
4,0:01,3,3,ARI 3,23,26,Andrew Franks 21 yard field goal good,4.720,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
